OBJECTID,RAIN_ID,DATE,VILLAGE,MOO,TAMBON,DISTRICT,PROVINCE,REGION,UTM_E,UTM_N,ZONE,RAIN_24_HR,RAIN_3_DAY,WEATHER
7374,2921,19/7/2021 0:00,สันมะเค็ด, ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,ภาคเหนือ,564548,2239778,47,35,0,ท้องฟ้าโปร่ง  ไม่มีฝนตก
7375,2920,18/7/2021 0:00,หนองประดู่,1,หนองแวง,หนองบัวแดง,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,788824,1781885,47,0,0,ท้องฟ้าโปร่ง  ไม่มีฝนตก
7376,2923,19/7/2021 0:00,ท่าเรือ,6,นางพญา,ท่าปลา,อุตรดิตถ์,ภาคเหนือ,648886,1985204,47,20,0,ท้องฟ้าโปร่ง  ไม่มีฝนตก
7377,2922,19/7/2021 0:00,ห้วยหยวกป่าโซ,9,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,ภาคเหนือ,560517,2239282,47,30,0,ท้องฟ้าโปร่ง  ไม่มีฝนตก
7378,2925,19/7/2021 0:00,แม่คะ,1,แม่คะ,ฝาง,เชียงใหม่,ภาคเหนือ,520888,2194853,47,10,0,ท้องฟ้าโปร่ง  ไม่มีฝนตก
7379,2924,19/7/2021 0:00,มอล่อง,25,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,ภาคเหนือ,566825,2234951,47,20,0,ท้องฟ้าโปร่ง  ไม่มีฝนตก
7380,2927,19/7/2021 0:00,อูตูม,6,นาเกียน,อมก๋อย,เชียงใหม่,ภาคเหนือ,416021,1975056,47,5,0,ท้องฟ้าโปร่ง  ไม่มีฝนตก
7381,2926,19/7/2021 0:00,น้ำหมันใต้,5,น้ำหมัน,ท่าปลา,อุตรดิตถ์,ภาคเหนือ,638297,1963770,47,10,0,ท้องฟ้าโปร่ง  ไม่มีฝนตก
7382,5331,5/9/2021 0:00,โคกนกพัฒนา,7,บุญทัน,สุวรรณคูหา,หนองบัวลำภู,ภาคตะวันออกเฉียงเหนือ,830887,1949446,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7383,5330,5/9/2021 0:00,แก้งเรือง,3,นาจะหลวย,นาจะหลวย,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,521280,1598175,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7384,5333,5/9/2021 0:00,วังใหญ่,4,วังทอง,ภักดีชุมพล,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,750513,1747174,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7385,5332,5/9/2021 0:00,โสมสวรรค์,2,โนนทอง,นายูง,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,843385,1989826,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7386,5335,6/9/2021 0:00,อาแหละ,15,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,ภาคเหนือ,564548,2239778,47,65,0,วัดปริมาณน้ำฝนได้ 65 มม
