OBJECTID,Event_ID,Geohaz_T,Geohaz_E,DATE,TIME,LATITUDE,LONGITUDE,UTM_E,UTM_N,ZONE,MAGNITUDE,DEPTH_KM,F_ZONE_T,F_ZONE_E,LOCATION,BAN,TAMBON,DISTRICT,PROVINCE,Geo_haz_T,Geo_haz_E,LS_Type_T,LS_Type_E,Effect
550,592,ดินถล่ม,Landslide,00:00.0,0:00:00,18.81832857,98.88635115,488026,2080730,47,,,,,วัดดอยปุยวิโรจนาราม ,ดอยปุย ,สุเทพ,เมือง,เชียงใหม่,,,,,ดินไหลทำให้มีเศษดินและต้นไม้ล้มขวางเส้นทางการจราจร ไม่สามารถสัญจรผ่านไปได้
515,512,ดินถล่ม,Landslide,00:00.0,0:00:00,20.17829942,99.594919,562162,2231323,47N,,,,,,แม่จันหลวง,แม่สลองนอก,แม่ฟ้าหลวง,เชียงราย,,,,,ดินไหลทำให้ส่งผลให้พื้นที่การเกษตร นาข้าว ไร่กาแฟ ได้รับความเสียหาย ไม่มีผู้บาดเจ็บหรือเสียชีวิต
453,479,ดินถล่ม,Landslide,00:00.0,0:00:00,19.23,101.14,724964,2127660,47N,,,,,เส้นทางเข้าหมู่บ้านป่ากํา-ขุนน้ำจอน,,ดงพญา,บ่อเกลือ,น่าน,,,,,ดินไหลปิดทับเส้นทาง ไม่สามารถสัญจรได้
114,103,แผ่นดินไหว,Earthquake,00:00.0,23:00:00,18.97,99.03,503158,2097508,47,3.2,2,แม่ทา,MAE THA,,,,สันทราย,เชียงใหม่,,,,,ประชาชนในพื้นที่อำเภอสันทราย อำเภอแม่ริม อำเภอดอยสะเก็ด และอำเภอแม่แตง สามารถรับรู้ได้ถึงแรงสั่นสะเทือน
17,6,ดินถล่ม,Landslide,00:00.0,0:00:00,17.8,99.44,547134,1968291,47,,,,,,,สรอย,วังชิ้น,แพร่,หินดินดาน,Shale,,,มีผู้เสียชีวิต 43 คน สูญหาย 4 คน บ้านเรือนเสียหาย 18 หลัง
27,211,หลุมยุบ,Sinkhole,00:00.0,0:00:00,17.62750718,102.1705361,842530,1952426,47,,,,,วัดป่าถ้ำภูผายาสถิตย์,นาเจริญ,ดงมะไฟ,สุวรรณคูหา,หนองบัวลำภู,หินปูน,Limestone,,,หลุมยุบขนาดเส้นผ่าศูนย์กลางประมาณประมาณ 6 เมตร ความลึก 4.5 เมตร
176,153,หลุมยุบ,Sinkhole,00:00.0,0:00:00,7.83655483,99.59829384,565958,866275,47,,,,,,ป่ายาง,หนองช้างแล่น,ห้วยยอด,ตรัง,หินปูน,Limestone,,,หลุมยุบขนาดเส้นผ่าศูนย์กลาง 10.5 เมตร ลึก 6 เมตร
204,200,หลุมยุบ,Sinkhole,00:00.0,0:00:00,18.82345192,100.7327651,682587,2082184,47,,,,,,ผาตูบ,ผาสิงห์,เมือง,น่าน,หินปูน,Limestone,,,หลุมยุบเส้นผ่าศูนย์กลาง 7 เมตร ลึกประมาณ 5 เมตร
526,474,ดินถล่ม,Landslide,00:00.0,0:00:00,12.51,99.51,555412,1383002,47N,,,,,สํานักสงฆ์ป่าละอู,,ห้วยสัตว์ใหญ่,หัวหิน,ประจวบคีรีขันธ์,,,,,ดินไหลทำให้กุฏิสงฆ์ ได้รับความเสียหาย
439,469,ดินถล่ม,Landslide,00:00.0,0:00:00,19.93,99.56,558605,2203832,47N,,,,,,ผาลั่ง,ห้วยชมภู,เมืองเชียงราย,เชียงราย,,,,,ดินไหลปิดทับเส้นทาง กีดขวางเส้นทางจราจร รถยนต์ไม่สามารถสัญจรได้
51,161,หลุมยุบ,Sinkhole,00:00.0,0:00:00,18.97959344,98.73813212,472435,2098590,47,,,,,,แม่แพะ,สะเมิงเหนือ,สะเมิง,เชียงใหม่,หินปูน,Limestone,,,หลุมยุบขนาดเส้นผ่าศูนย์กลาง 12 เมตร ยาว 22 เมตร และลึก 5 เมตร
175,150,หลุมยุบ,Sinkhole,00:00.0,0:00:00,18.99761398,100.7775075,687108,2101508,47,,,,,,ผาขวาง,บ่อ,เมือง,น่าน,หินปูน,Limestone,,,หลุมยุบขนาดเส้นผ่าศูนย์กลาง 2 เมตร ลึก 1.5 เมตร
246,289,ดินถล่ม,Landslide,00:00.0,0:00:00,18.34,97.92,385884,2028140,47N,,,,,ทางหลวงหมายเลข 108 สายฮอด – แม่สะเรียง,,แม่ลาน้อย,แม่ลาน้อย,แม่ฮ่องสอน,,,,,ดินไหล กม.ที่ 88-89 ทำให้ถนนทรุดตัวและขาด มีขนาดกว้าง 20 เมตร ยาว 100 เมตร ลึก 40-100 เมตร
85,190,หลุมยุบ,Sinkhole,00:00.0,0:00:00,18.07910983,99.77312038,581810,1999109,47,,,,,,แม่จอก,หัวทุ่ง,ลอง,แพร่,หินทราย,Sandstone,,,หลุมยุบขนาดเส้นผ่าศูนย์กลาง 1.5 เมตร ลึก 2.5 เมตร
35,136,หลุมยุบ,Sinkhole,00:00.0,0:00:00,8.09835081,98.81801166,479949,895175,47,,,,,,หนองแบก,หนองทะเล,เมือง,กระบี่,หินปูน,Limestone,,,หลุมยุบขนาดเส้นผ่าศูนย์กลาง 2.3 เมตร ลึก 1.9 เมตร
433,502,ดินถล่ม,Landslide,00:00.0,0:00:00,19.17344345,101.1706826,728269,2121439,47N,,,,,,ห้วยโป่ง,บ่อเกลือใต้,บ่อเกลือ,น่าน,,,,,ดินไหลทำให้บ้านเรือนความเสียหาย 4 หลัง
133,60,แผ่นดินไหว,Earthquake,00:00.0,8:41:00,14.25,99.18,519417,1575383,47,3.3,10,ศรีสวัสดิ์,SI SAWAT,,,ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,,,,,ประชาชนในพื้นที่ตำบลหนองปรือ อำเภอหนองปรือ สามารถรับรู้ถึงแรงสั่นสะเทือนได้โดยทั่วไป
65,59,แผ่นดินไหว,Earthquake,00:00.0,15:19:00,14.3,99.17,518334,1580912,47,3.7,10,ศรีสวัสดิ์,SI SAWAT,,,ด่านแม่แฉลบ,ศรีสวัสดิ์,กาญจนบุรี,,,,,ประชาชนในพื้นที่จังหวัดกาญจนบุรี โดยเฉพาะบริเวณตำบลด่านแม่แฉลบ และตำบลเขาโจด อำเภอศรีสวัสดิ์ สามารถรับรู้ถึงแรงสั่นสะเทือนได้
583,598,ดินถล่ม,Landslide,00:00.0,0:00:00,18.60609462,98.77111776,475854,2057259,47,,,,,,หนองเย็น ,ทุ่งปี๊,แม่วาง ,เชียงใหม่,หินทราย ,Sandstone,การไถลลื่นของดินและหิน ,Debris Slide,ดินไหลลงมาประชิดกับห้องครัวหลังบ้านที่อยู่อาศัย ไม่มีผู้บาดเจ็บและเสียชีวิต
73,53,แผ่นดินไหว,Earthquake,00:00.0,18:51:00,18.9,99,500000,2089763,47,3.1,,แม่ทา,MAE THA,,,,แม่ริม,เชียงใหม่,,,,,รู้สึกสั่นสะเทือนได้ที่ อำเภอม่ริม อำเภอเมือง จังหวัดเชียงใหม่
368,389,ดินถล่ม,Landslide,00:00.0,0:00:00,10.64938108,98.87650437,486493,1177214,47N,,,,,ทางหลวงชนบทสายรังแตน-ในกรัง กม.ที่ 11,รังแตน,จ.ป.ร,กระบุรี,ระนอง,,,,,ดินไหลปิดทับเส้นทางเป็นระยะทางยาว 50 เมตร มีเสาไฟฟ้าล้ม 2 ต้น และไฟฟ้าดับ 3 หมู่บ้าน
296,295,ดินถล่ม,Landslide,00:00.0,0:00:00,8.38074526,99.79739712,587791,926479,47N,,,,,,น้ำใส,กำโลน,ลานสกา,นครศรีธรรมราช,,,,,ดินไหลลงมาปิดทับบ้านนางศิริขวัญ ไชยหมาด สวนยางพาราได้รับความเสียหายบางส่วน
